city,population,average number of day stay
beijing,5204021,4.20
tianjin,730615,11.70
shijiazhuang,136019,2.16
qinhuangdao,264372,3.77
chengde,311976,2.10
taiyuan,348841,2.63
DaTong,234861,2.07
HuheHaoTe,102343,4.01
ShenYang,634895,3.81
DaLian,1170035,3.37
Changchun,301639,3.07
JiLin,76412,1.82
YanBian,449816,1.69
HaErBin,277215,2.77
Shanghai,6686144,3.42
Nanjing,1506642,4.55
WuXi,908324,3.55
SuZhou,2326318,3.22
Nantong,404852,5.54
LianYunGang,132289,6.29
HangZhou,3063140,2.96
Ningbo,1073872,2.88
wenzhou,470504,2.74
hefei,332470,3.39
huangshan,1313609,2.11
fuzhou,761665,6.36
xiamen,1799205,3.67
quanzhou,846389,5
zhangzhou,293728,3.41
